DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
FR,FR10,PARTY,Generation.s,Generation.s,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
FR,FR90,PARTY,Other parties,Other parties,,,France,FR,FRA,250.0,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
IT,IT01,PARTY,LN,Lega Salvini Premier,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT02,PARTY,PD,Partito Democratico (con Siamo Europei),,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT03,PARTY,FI,Forza Italia,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT04,PARTY,FDI,Fratelli d'Italia,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT05,PARTY,M5S,Movimento Cinque Stelle,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT06,PARTY,Coal +E (+E + IC + PDE et al.),Coalition +Europa (+ Europa - Italia in Comune - Partito Democratico Europeo).,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT07,PARTY,Coal La Sinistra (SI + RC),Coalition La Sinistra (Sinistra italiana + Rifondazione comunista + Altra Europa con Tsipras + Partito del Sud + Transform Itali + Convergenza Socialista),,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT08,PARTY,SVP,Südtiroler Volkspartei (Partito popolare sudtirolese),,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT09,PARTY,FdV (Verdi+Possibile et al.),Coalition Federazione dei Verdi (Verdi + Possibile + Green Italia et al.).,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
IT,IT90,PARTY,Other parties,Other parties,,,Italy,IT,ITA,380.0,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
CY,CY01,PARTY,ΔΗΣΥ/DISY,Δημοκρατικός Συναγερμός/Democratic Rally,,,Cyprus,CY,CYP,196.0,ISO 3166-2:CY,Asia,Western Asia,,142.0,145.0,
